ticker,description,n_obs,avg_daily_dollar_vol_M,passes_liquidity,overall_mean_20d_pct,overall_std_20d_pct,losing_n,losing_mean_pct,losing_hit_rate,losing_sharpe,losing_alpha_pct,losing_std_pct,losing_score,flat_n,flat_mean_pct,flat_hit_rate,flat_sharpe,flat_alpha_pct,flat_std_pct,flat_score,weak_n,weak_mean_pct,weak_hit_rate,weak_sharpe,weak_alpha_pct,weak_std_pct,weak_score,corr_with_gdx
TLT,Long Treasury (20+y),4104,1412.6389,True,0.1985,3.7386,1469,-0.6372,42.8863,-0.1697,-0.8357,3.7546,-1.6193,1017,0.2652,53.3923,0.0748,0.0667,3.5458,0.1256,2316,-0.2878,46.7185,-0.0775,-0.4863,3.7115,-0.9368,0.1393
IEF,Intermediate Treasury (7-10y),4104,381.0968,True,0.2023,1.7612,1469,-0.2609,44.0436,-0.1474,-0.4632,1.7708,-0.6164,1017,0.2359,56.6372,0.1380,0.0336,1.7094,0.0440,2316,-0.0719,48.7047,-0.0407,-0.2742,1.7672,-0.3645,0.1934
SHY,Short Treasury (1-3y),4104,196.3019,True,0.1063,0.3745,1469,0.0034,48.5364,0.0100,-0.1029,0.3442,-0.0604,1017,0.1138,63.8151,0.3328,0.0075,0.3419,0.0044,2316,0.0430,54.0155,0.1237,-0.0634,0.3473,-0.0373,0.2291
BIL,T-Bills (1-3 month),4104,215.2290,True,0.1027,0.1485,1469,0.0803,52.4166,0.5780,-0.0224,0.1389,-0.0083,1017,0.1055,61.4553,0.7414,0.0027,0.1422,0.0010,2316,0.0887,55.6995,0.6337,-0.0141,0.1399,-0.0053,0.0056
HYG,High Yield Corporate,4104,1180.6743,True,0.4095,2.2100,1469,-0.1578,54.7992,-0.0611,-0.5673,2.5805,-0.9114,1017,0.4117,67.3550,0.2244,0.0021,1.8344,0.0029,2316,0.0316,59.0242,0.0134,-0.3779,2.3518,-0.5796,0.2515
LQD,Investment Grade Corporate,4104,1006.6878,True,0.3052,2.1388,1469,-0.4170,46.0858,-0.1851,-0.7223,2.2525,-1.0840,1017,0.3206,61.6519,0.1952,0.0154,1.6429,0.0197,2316,-0.1498,51.7703,-0.0725,-0.4550,2.0665,-0.6541,0.2507
TIP,TIPS (inflation-linked),4104,176.9412,True,0.2275,1.4397,1469,-0.3563,42.3417,-0.2580,-0.5838,1.3812,-0.6861,1017,0.2545,64.2085,0.1937,0.0270,1.3139,0.0310,2316,-0.1353,50.2159,-0.0971,-0.3628,1.3942,-0.4284,0.2612
AGG,US Aggregate Bond,4104,385.8716,True,0.1962,1.2359,1469,-0.2112,46.9707,-0.1750,-0.4074,1.2066,-0.4475,1017,0.2308,63.5202,0.2115,0.0346,1.0910,0.0361,2316,-0.0491,53.1520,-0.0417,-0.2453,1.1775,-0.2661,0.2734
XLK,Technology,4104,762.0749,True,1.4386,5.3121,1469,0.6242,61.1300,0.1092,-0.8144,5.7172,-1.9473,1017,1.5220,69.5182,0.2959,0.0834,5.1442,0.1891,2316,0.8982,64.1192,0.1626,-0.5404,5.5225,-1.2699,0.1926
XLF,Financials,4104,1276.9647,True,0.8515,5.6184,1469,0.5206,59.4282,0.0800,-0.3309,6.5054,-0.8440,1017,0.8331,60.9636,0.1609,-0.0184,5.1779,-0.0419,2316,0.5879,59.7150,0.0972,-0.2636,6.0466,-0.6482,0.1233
