ticker,country,description,n_obs,avg_daily_dollar_vol_M,passes_liquidity,overall_mean_20d_pct,overall_std_20d_pct,losing_n,losing_mean_pct,losing_hit_rate,losing_sharpe,losing_alpha_pct,losing_std_pct,losing_score,flat_n,flat_mean_pct,flat_hit_rate,flat_sharpe,flat_alpha_pct,flat_std_pct,flat_score,weak_n,weak_mean_pct,weak_hit_rate,weak_sharpe,weak_alpha_pct,weak_std_pct,weak_score,corr_with_gdx
TD,Canada,Toronto-Dominion Bank,4104,69.9388,True,0.9209,5.8525,1469,-0.3906,49.5575,-0.0607,-1.3115,6.4380,-3.3277,1017,0.9250,61.3569,0.1768,0.0041,5.2313,0.0094,2316,0.0417,53.4542,0.0069,-0.8791,6.0150,-2.1561,0.1994
RY,Canada,Royal Bank of Canada,4104,61.8363,True,0.9074,5.6764,1469,-0.4997,49.6937,-0.0818,-1.4071,6.1105,-3.4782,1017,0.8559,61.0619,0.1678,-0.0515,5.1011,-0.1164,2316,-0.0352,53.4542,-0.0061,-0.9426,5.7887,-2.2679,0.2296
BNS,Canada,Bank of Nova Scotia,4104,41.5633,True,0.6399,6.0865,1469,-0.9082,47.5153,-0.1318,-1.5481,6.8910,-4.0638,1017,0.6054,57.1288,0.1119,-0.0345,5.4123,-0.0802,2316,-0.4098,50.6045,-0.0639,-1.0497,6.4165,-2.6589,0.2176
BMO,Canada,Bank of Montreal,4104,37.6052,True,0.8681,6.5789,1469,-0.8496,47.7195,-0.1108,-1.7176,7.6689,-4.7567,1017,1.2032,61.3569,0.2230,0.3351,5.3952,0.7784,2316,-0.1516,52.2884,-0.0218,-1.0197,6.9618,-2.6905,0.2063
CM,Canada,CIBC,4104,30.6040,True,0.9961,6.4752,1469,-0.6359,48.1280,-0.0924,-1.6320,6.8815,-4.2810,1017,1.1808,62.4385,0.2005,0.1848,5.8884,0.4484,2316,-0.0139,53.0656,-0.0021,-1.0100,6.5443,-2.5838,0.2130
MFC,Canada,Manulife Financial,4104,35.8677,True,0.6514,8.1817,1469,-0.1965,53.0973,-0.0209,-0.8479,9.4024,-2.6001,1017,0.6934,54.2773,0.0956,0.0420,7.2523,0.1132,2316,0.0654,53.1088,0.0075,-0.5861,8.6978,-1.7284,0.1512
SAN,Spain,Banco Santander,4104,27.5739,True,0.3051,9.9824,1469,-1.4212,42.0694,-0.1280,-1.7264,11.1006,-5.7518,1017,0.2963,51.6224,0.0342,-0.0088,8.6567,-0.0260,2316,-0.8970,44.7323,-0.0868,-1.2022,10.3378,-3.8652,0.1639
BCS,UK,Barclays,4104,54.3800,True,0.3641,10.7826,1469,-0.5623,49.2852,-0.0480,-0.9264,11.7105,-3.1701,1017,0.6875,55.1622,0.0721,0.3234,9.5301,0.9983,2316,-0.1968,50.9067,-0.0178,-0.5608,11.0254,-1.8622,0.1537
ING,Netherlands,ING Groep,4104,28.7478,True,0.8134,10.9172,1469,-0.4264,51.4636,-0.0347,-1.2398,12.2726,-4.3434,1017,0.8361,55.8505,0.0895,0.0227,9.3426,0.0693,2316,-0.0640,52.4180,-0.0056,-0.8774,11.3445,-2.9551,0.1594
HSBC,UK,HSBC Holdings,4104,57.1986,True,0.6571,6.5723,1469,-0.2973,47.6515,-0.0447,-0.9544,6.6462,-2.4604,1017,0.6601,57.3255,0.1076,0.0030,6.1323,0.0075,2316,0.0051,50.7772,0.0008,-0.6520,6.5114,-1.6638,0.1684
LYG,UK,Lloyds Banking,4104,16.1922,False,0.4253,10.4282,1469,-1.1961,42.8863,-0.1089,-1.6214,10.9826,-5.3732,1017,0.6626,51.5241,0.0661,0.2373,10.0186,0.7510,2316,-0.6250,45.6390,-0.0581,-1.0503,10.7597,-3.4453,0.1435
MUFG,Japan,Mitsubishi UFJ Financial,4104,15.2629,False,0.6522,7.6191,1469,0.6422,53.3696,0.0833,-0.0100,7.7091,-0.0278,1017,0.3433,52.8024,0.0489,-0.3089,7.0223,-0.8186,2316,0.4947,52.8066,0.0658,-0.1575,7.5181,-0.4319,0.1522
SMFG,Japan,Sumitomo Mitsui Financial,4104,12.2327,False,0.6312,7.3504,1469,0.7153,54.5950,0.0984,0.0841,7.2698,0.2268,1017,0.4081,52.8024,0.0615,-0.2231,6.6317,-0.5746,2316,0.5582,53.6701,0.0789,-0.0730,7.0714,-0.1942,0.1505
ASML,Netherlands,ASML Holding,4104,359.4557,True,1.8999,8.8833,1469,0.8415,56.5010,0.0949,-1.0584,8.8640,-3.1512,1017,1.3800,58.6037,0.1618,-0.5199,8.5272,-1.5182,2316,1.0240,57.2107,0.1175,-0.8759,8.7161,-2.5860,0.2025
SAP,Germany,SAP SE,4104,107.4181,True,0.7576,7.2599,1469,-0.7181,48.5364,-0.0982,-1.4757,7.3104,-3.9900,1017,1.0067,59.1937,0.1526,0.2491,6.5969,0.6398,2316,-0.1660,51.9430,-0.0234,-0.9236,7.0901,-2.4594,0.1851
STLA,Netherlands,Stellantis,3996,46.5638,True,0.7582,12.4332,1452,-0.3733,48.3471,-0.0296,-1.1315,12.6150,-4.0189,972,0.5548,51.5432,0.0469,-0.2034,11.8249,-0.6993,2266,-0.1054,49.2939,-0.0086,-0.8635,12.3204,-3.0311,0.0671
TSM,Taiwan,Taiwan Semiconductor,4104,686.6027,True,2.0001,7.8960,1469,1.2432,59.0878,0.1637,-0.7569,7.5927,-2.0857,1017,1.5816,61.1603,0.2098,-0.4184,7.5395,-1.1489,2316,1.3215,59.4560,0.1752,-0.6786,7.5405,-1.8635,0.1710
BABA,China,Alibaba Group,2918,2451.6452,True,0.3261,11.5616,976,-2.8404,37.1926,-0.2689,-3.1665,10.5642,-10.2919,734,0.2989,54.0872,0.0286,-0.0272,10.4366,-0.0877,1584,-1.6000,43.9394,-0.1505,-1.9261,10.6307,-6.2798,0.1355
JD,China,JD.com,3001,454.0677,True,0.2166,11.6472,1008,-1.8650,45.9325,-0.1814,-2.0816,10.2814,-6.6746,759,0.2934,54.6772,0.0254,0.0768,11.5579,0.2612,1640,-0.9834,49.2683,-0.0910,-1.2000,10.8110,-3.9457,0.1206
BIDU,China,Baidu,4104,653.7049,True,0.5642,11.9533,1469,-1.9684,42.1375,-0.1806,-2.5326,10.9004,-8.3615,1017,1.0051,53.9823,0.0904,0.4409,11.1173,1.4700,2316,-0.8619,46.2867,-0.0788,-1.4260,10.9403,-4.7168,0.1780
INFY,India,Infosys,4104,105.1158,True,0.4694,7.9946,1469,-1.0025,49.7617,-0.1198,-1.4719,8.3659,-4.2572,1017,0.8493,60.5703,0.1179,0.3799,7.2019,1.0196,2316,-0.3122,53.6701,-0.0391,-0.7816,7.9911,-2.2094,0.1425
UL,UK,Unilever,4104,66.7395,True,0.5151,4.9122,1469,-0.5977,47.6515,-0.1160,-1.1127,5.1531,-2.5260,1017,0.6236,57.7188,0.1484,0.1086,4.2037,0.2226,2316,-0.2000,50.9499,-0.0413,-0.7151,4.8434,-1.5738,0.1912
NSRGY,Switzerland,Nestle (ADR),4104,36.4066,True,0.5930,4.5399,1469,-1.0899,42.4098,-0.2492,-1.6829,4.3743,-3.5198,1017,0.8235,56.4405,0.1915,0.2305,4.2998,0.4780,2316,-0.4180,47.3661,-0.0948,-1.0111,4.4103,-2.1233,0.2337
DEO,UK,Diageo,4104,57.7684,True,0.3096,5.5728,1469,-0.7178,49.6256,-0.1193,-1.0274,6.0187,-2.5205,1017,0.2271,55.4572,0.0481,-0.0825,4.7218,-0.1793,2316,-0.4123,51.5976,-0.0737,-0.7219,5.5953,-1.7077,0.1902
BTI,UK,British American Tobacco,4104,65.9171,True,0.7745,6.1493,1469,-0.4280,49.6937,-0.0726,-1.2025,5.8925,-2.9190,1017,0.7334,58.2104,0.1199,-0.0412,6.1147,-0.1018,2316,-0.0580,52.6339,-0.0096,-0.8325,6.0195,-2.0426,0.1858
NVO,Denmark,Novo Nordisk,4104,150.4493,True,1.0982,8.1963,1469,-0.2004,50.4425,-0.0268,-1.2986,7.4873,-3.5533,1017,0.8558,59.1937,0.1084,-0.2424,7.8931,-0.6809,2316,0.1813,53.4542,0.0238,-0.9169,7.6123,-2.5298,0.1384
AZN,UK,AstraZeneca,4104,194.9962,True,0.9612,6.2238,1469,-0.6379,45.4050,-0.1065,-1.5990,5.9896,-3.9134,1017,0.8828,52.6057,0.1421,-0.0784,6.2118,-0.1953,2316,-0.0760,47.7979,-0.0124,-1.0372,6.1172,-2.5652,0.1638
GSK,UK,GSK plc,4104,105.4830,True,0.5041,5.6141,1469,-1.1356,43.9074,-0.2062,-1.6397,5.5082,-3.8484,1017,0.2888,56.5388,0.0518,-0.2154,5.5731,-0.5084,2316,-0.6300,48.7478,-0.1140,-1.1342,5.5253,-2.6660,0.1681
