date,portfolio_$,gdx_$,xle_$,tlt_$,cash_$,gdx_pos,xle_pos,tlt_pos,cash_pos,gdx_ret,xle_ret,tlt_ret
2015-01-01,100020.63,0.0,0.0,0.0,100020.63,0.0,0.0,0.0,1.0,-0.0,0.0,0.0
2015-01-02,100041.27,0.0,0.0,0.0,100041.27,0.0,0.0,0.0,1.0,-0.0,0.0,0.0
2015-01-05,100061.92,0.0,0.0,0.0,100061.92,0.0,0.0,0.0,1.0,-0.0,0.0,0.0
2015-01-06,100082.57,0.0,0.0,0.0,100082.57,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0
2015-01-07,100103.22,0.0,0.0,0.0,100103.22,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0
2015-01-08,100123.87,0.0,0.0,0.0,100123.87,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0
2015-01-09,99985.3,49992.65,0.0,0.0,49992.65,0.5,0.0,0.0,0.5,-0.000737448825,-0.0,0.0
2015-01-12,99972.47,49986.23,0.0,0.0,49986.23,0.5,0.0,0.0,0.5,-0.00023158625,-0.0,0.0
2015-01-13,99895.58,49947.79,0.0,0.0,49947.79,0.5,0.0,0.0,0.5,-0.00087266685,-0.0,-0.0
2015-01-14,99763.22,74822.42,0.0,0.0,24940.81,0.75,0.0,0.0,0.25,-0.001002003375,-0.0,-0.0
2015-01-15,99826.31,74869.73,0.0,0.0,24956.58,0.75,0.0,0.0,0.25,0.0005805882375000001,-0.0,-0.0
2015-01-16,99734.6,0.0,0.0,0.0,99734.6,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0
2015-01-19,99782.73,74837.05,0.0,0.0,24945.68,0.75,0.0,0.0,0.25,0.0015548056125000002,-0.0,-0.0
2015-01-20,100196.76,75147.57,0.0,0.0,25049.19,0.75,0.0,0.0,0.25,0.00408931515,-0.0,-0.0
2015-01-21,100461.02,75345.76,0.0,0.0,25115.25,0.75,0.0,0.0,0.25,0.002582475525,-0.0,-0.0
2015-01-22,100796.68,75597.51,0.0,0.0,25199.17,0.75,0.0,0.0,0.25,0.00328421925,-0.0,-0.0
2015-01-23,101033.36,75775.02,0.0,0.0,25258.34,0.75,0.0,0.0,0.25,0.0022939145625,-0.0,-0.0
2015-01-26,101324.89,75993.67,0.0,0.0,25331.22,0.75,0.0,0.0,0.25,0.0028298756249999996,-0.0,-0.0
2015-01-27,101763.25,76322.44,0.0,0.0,25440.81,0.75,0.0,0.0,0.25,0.004265566125,-0.0,-0.0
2015-01-28,101876.13,50938.07,0.0,0.0,50938.07,0.5,0.0,0.0,0.5,0.00138014225,-0.0,-0.0
2015-01-29,101962.1,50981.05,0.0,0.0,50981.05,0.5,0.0,0.0,0.5,0.0007403568,-0.0,-0.0
2015-01-30,102090.89,51045.44,0.0,0.0,51045.44,0.5,0.0,0.0,0.5,0.0011592610749999999,-0.0,-0.0
2015-02-02,102168.32,25542.08,0.0,0.0,76626.24,0.25,0.0,0.0,0.75,0.0009782835,-0.0,-0.0
2015-02-03,102320.94,51160.47,0.0,0.0,51160.47,0.5,0.0,0.0,0.5,0.0017640474999999999,-0.0,-0.0
2015-02-04,102601.75,51300.88,0.0,0.0,51300.88,0.5,0.0,0.0,0.5,0.0026377584999999998,-0.0,-0.0
2015-02-05,102729.76,25682.44,0.0,0.0,77047.32,0.25,0.0,0.0,0.75,0.0014667515625,-0.0,-0.0
2015-02-06,102923.05,25730.76,0.0,0.0,77192.29,0.25,0.0,0.0,0.75,0.001725359875,-0.0,-0.0
2015-02-09,103388.98,51694.49,0.0,0.0,51694.49,0.5,0.0,0.0,0.5,0.00478730125,-0.0,-0.0
2015-02-10,103606.74,25901.69,0.0,0.0,77705.06,0.25,0.0,0.0,0.75,0.002323739625,-0.0,-0.0
2015-02-11,103589.27,0.0,0.0,0.0,103589.27,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0
2015-02-12,103770.45,25942.61,0.0,0.0,77827.84,0.25,0.0,0.0,0.75,0.001967336,0.0,-0.0
2015-02-13,103997.6,25999.4,0.0,0.0,77998.2,0.25,0.0,0.0,0.75,0.002032180125,0.0,-0.0
2015-02-16,104387.11,52193.55,0.0,0.0,52193.55,0.5,0.0,0.0,0.5,0.0040090755,0.0,-0.0
2015-02-17,104368.54,0.0,78276.4,0.0,26092.13,0.0,0.75,0.0,0.25,0.0,0.0016441792499999998,-0.0
2015-02-18,104272.66,0.0,0.0,0.0,104272.66,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-02-19,104296.0,0.0,78222.0,0.0,26074.0,0.0,0.75,0.0,0.25,0.0,0.00129639525,0.0
2015-02-20,104450.54,52225.27,52225.27,0.0,0.0,0.5,0.5,0.0,0.0,0.0014081179250000002,0.001195247925,0.0
2015-02-23,104686.12,52343.06,52343.06,0.0,0.0,0.5,0.5,0.0,0.0,0.0009805215,0.00127233425,0.0
2015-02-24,104965.43,52482.71,52482.71,0.0,0.0,0.5,0.5,0.0,0.0,0.00097366655,0.0016908782500000001,0.0
2015-02-25,105337.22,52668.61,52668.61,0.0,0.0,0.5,0.5,0.0,0.0,0.0017815732500000001,0.0017542138749999999,0.0
2015-02-26,105518.24,52759.12,0.0,0.0,52759.12,0.5,0.0,0.0,0.5,0.00236249025,0.0,0.0
2015-02-27,105850.88,52925.44,0.0,0.0,52925.44,0.5,0.0,0.0,0.5,0.003044637,0.0,0.0
2015-03-02,106118.92,53059.46,0.0,0.0,53059.46,0.5,0.0,0.0,0.5,0.00242614625,0.0,0.0
2015-03-03,106476.93,79857.7,0.0,0.0,26619.23,0.75,0.0,0.0,0.25,0.0036902317499999996,0.0,0.0
2015-03-04,106698.8,53349.4,0.0,0.0,53349.4,0.5,0.0,0.0,0.5,0.00235283785,0.0,0.0
2015-03-05,106828.03,53414.01,0.0,0.0,53414.01,0.5,0.0,0.0,0.5,0.001107335825,0.0,0.0
2015-03-06,106780.77,53390.39,0.0,0.0,53390.39,0.5,0.0,0.0,0.5,-0.000545671525,-0.0,0.0
2015-03-09,106722.72,0.0,0.0,0.0,106722.72,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0
2015-03-10,106744.74,0.0,0.0,0.0,106744.74,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0
2015-03-11,106766.77,0.0,0.0,0.0,106766.77,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0
2015-03-12,106788.8,0.0,0.0,0.0,106788.8,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0
2015-03-13,106810.84,0.0,0.0,0.0,106810.84,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0
2015-03-16,106832.88,0.0,0.0,0.0,106832.88,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0
2015-03-17,106854.92,0.0,0.0,0.0,106854.92,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0
2015-03-18,106876.97,0.0,0.0,0.0,106876.97,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0
2015-03-19,106670.03,0.0,80002.52,0.0,26667.51,0.0,0.75,0.0,0.25,-0.0,-0.000863242275,-0.0
2015-03-20,106613.1,0.0,53306.55,0.0,53306.55,0.0,0.5,0.0,0.5,-0.0,-0.00026191185,0.0
2015-03-23,106555.14,0.0,0.0,0.0,106555.14,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0
2015-03-24,106577.13,0.0,0.0,0.0,106577.13,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0
2015-03-25,106599.12,0.0,0.0,0.0,106599.12,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0
2015-03-26,106621.11,0.0,0.0,0.0,106621.11,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0
2015-03-27,106643.12,0.0,0.0,0.0,106643.12,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0
2015-03-29,106665.12,0.0,0.0,0.0,106665.12,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0
2015-03-30,106687.13,0.0,0.0,0.0,106687.13,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0
2015-03-31,106709.15,0.0,0.0,0.0,106709.15,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0
2015-04-01,106731.17,0.0,0.0,0.0,106731.17,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0
2015-04-02,106753.19,0.0,0.0,0.0,106753.19,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0
2015-04-05,106476.24,53238.12,0.0,0.0,53238.12,0.5,0.0,0.0,0.5,-0.001949367125,-0.0,-0.0
2015-04-06,106352.94,53176.47,0.0,0.0,53176.47,0.5,0.0,0.0,0.5,-0.001262015675,-0.0,-0.0
2015-04-07,106239.48,53119.74,0.0,0.0,53119.74,0.5,0.0,0.0,0.5,-0.001170697075,-0.0,-0.0
2015-04-08,106181.72,0.0,0.0,0.0,106181.72,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0
2015-04-09,106203.63,0.0,0.0,0.0,106203.63,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0
2015-04-10,106225.54,0.0,0.0,0.0,106225.54,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0
2015-04-12,106053.78,53026.89,0.0,0.0,53026.89,0.5,0.0,0.0,0.5,-0.000970627,-0.0,-0.0
2015-04-13,105999.81,26499.95,0.0,0.0,79499.86,0.25,0.0,0.0,0.75,-0.00028869569999999997,-0.0,-0.0
2015-04-14,105981.93,0.0,0.0,0.0,105981.93,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0
2015-04-15,106003.8,0.0,0.0,0.0,106003.8,0.0,0.0,0.0,1.0,0.0,0.0,-0.0
2015-04-16,106025.68,0.0,0.0,0.0,106025.68,0.0,0.0,0.0,1.0,-0.0,0.0,-0.0
2015-04-17,106047.55,0.0,0.0,0.0,106047.55,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0
2015-04-19,106069.44,0.0,0.0,0.0,106069.44,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0
